Order_ID,Order_Date,City,Region,Category,Sub_Category,Department,Customer_Type,Order_Priority,Quantity,Unit_Price,Discount_%,Gross_Sales,Revenue,Expenses,Profit,Profit_Margin_%,Expense_Ratio_%,Sales_Target,Target_Achievement_%,Return_Qty,Return_Rate_%
ORD-00001,9/15/2024,Phoenix,West,Accessories,Bags,Corporate,Returning,Standard,4,300,0.03,1200,1164,601.82,562.18,0.483,0.517,875.82,1.7321,1,0.25
ORD-00002,4/27/2024,Los Angeles,West,Technology,Kitchen,Retail,Returning,Standard,5,25,0.15,125,106.25,71.94,34.31,0.3229,0.6771,62.73,0.1124,0,0
ORD-00003,12/8/2025,New York,Northeast,Technology,Chairs,Retail,Returning,Standard,4,200,0.08,800,736,548.02,187.98,0.2554,0.7446,587.32,0.6815,0,0
ORD-00004,9/7/2024,Los Angeles,West,Office Supplies,Bags,Corporate,Returning,Standard,5,150,0,750,750,431.08,318.92,0.4252,0.5748,907.2,1.0302,0,0
ORD-00005,9/13/2025,Los Angeles,West,Office Supplies,Laptops,Corporate,Returning,Express,5,40,0,200,200,105.1,94.9,0.4745,0.5255,205.24,0.2747,1,0.2
ORD-00006,11/11/2025,Miami,South,Appliances,Kitchen,Retail,New,Standard,5,750,0.1,3750,3375,2508.73,866.27,0.2567,0.7433,2278.78,3.5156,1,0.2
ORD-00007,5/10/2024,Houston,South,Furniture,Bags,Consumer,Returning,Standard,2,500,0.05,1000,950,590.03,359.97,0.3789,0.6211,1031.5,1.2056,0,0
ORD-00008,3/10/2024,Miami,South,Appliances,Phones,Consumer,New,Standard,6,60,0.05,360,342,226.89,115.11,0.3366,0.6634,371.62,0.4275,1,0.1667
ORD-00009,8/17/2024,New York,Northeast,Office Supplies,Laptops,Enterprise,New,Standard,3,60,0.1,180,162,107.92,54.08,0.3338,0.6662,172.58,0.2225,0,0
ORD-00010,8/13/2025,Phoenix,West,Office Supplies,Phones,Enterprise,Returning,Express,4,100,0.15,400,340,235.85,104.15,0.3063,0.6937,364.87,0.467,0,0
ORD-00011,7/10/2025,Los Angeles,West,Accessories,Laptops,Retail,Returning,Standard,5,750,0,3750,3750,2617.46,1132.54,0.302,0.698,1731.16,5.5804,0,0
ORD-00012,5/9/2025,Miami,South,Office Supplies,Kitchen,Consumer,New,Standard,1,25,0.08,25,23,15.33,7.67,0.3335,0.6665,25.04,0.0337,0,0
ORD-00013,9/11/2025,Houston,South,Office Supplies,Phones,Retail,Returning,Standard,3,100,0.03,300,291,145.89,145.11,0.4987,0.5013,351.55,0.3997,0,0
ORD-00014,10/3/2025,Houston,South,Office Supplies,Kitchen,Consumer,Returning,Standard,8,25,0,200,200,139.48,60.52,0.3026,0.6974,213.36,0.2564,0,0
